date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:35:57	196483/196483	---M--	200	added ('OK')	image/jpeg	etag:%229ec4bc649ed7d21:0%22	https://www.gitedupavillon.fr/Images/Chambre2/chambre2_1.JPG	www.gitedupavillon.fr/Images/Chambre2/chambre2_1.jpg	(from https://www.gitedupavillon.fr/Home/Pictures)
09:36:00	165/165	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20May%202020%2007:35:57%20GMT	http://www.gitedupavillon.fr/en/Home/Book	www.gitedupavillon.fr/en/Home/Book.17.delayed	(from https://www.gitedupavillon.fr/Home/Book)
09:36:01	206053/206053	---M--	200	added ('OK')	image/jpeg	etag:%22faf8bf649ed7d21:0%22	https://www.gitedupavillon.fr/Images/Chambre2/chambre2_2.JPG	www.gitedupavillon.fr/Images/Chambre2/chambre2_2.jpg	(from https://www.gitedupavillon.fr/Home/Pictures)
09:36:02	322753/322753	---M--	200	added ('OK')	image/jpeg	etag:%22bd6cb4b32a95d21:0%22	https://www.gitedupavillon.fr/Images/Chambre1/chambre1_2.JPG	www.gitedupavillon.fr/Images/Chambre1/chambre1_2.jpg	(from https://www.gitedupavillon.fr/Home/Pictures)
09:36:03	5762/5762	---M--	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2007:36:02%20GMT	https://www.gitedupavillon.fr/en/Home/Book	www.gitedupavillon.fr/en/Home/Book.html	(from https://www.gitedupavillon.fr/Home/Book)
09:36:04	130/130	---M--	302	error ('Found')	text/html	date:Fri,%2001%20May%202020%2007:36:04%20GMT	https://www.gitedupavillon.fr/en/Home/RedirectLanguage?act=Book	www.gitedupavillon.fr/en/Home/RedirectLanguage.191d44.delayed	(from https://www.gitedupavillon.fr/Home/Book)
09:36:05	168/168	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20May%202020%2007:36:04%20GMT	http://www.gitedupavillon.fr/en/Home/Contact	www.gitedupavillon.fr/en/Home/Contact.1a.delayed	(from https://www.gitedupavillon.fr/Home/Contact)
09:36:16	3763/3763	---M--	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2007:36:16%20GMT	https://www.gitedupavillon.fr/en/Home/Contact	www.gitedupavillon.fr/en/Home/Contact.html	(from https://www.gitedupavillon.fr/Home/Contact)
09:36:23	133/133	---M--	302	error ('Found')	text/html	date:Fri,%2001%20May%202020%2007:36:22%20GMT	https://www.gitedupavillon.fr/en/Home/RedirectLanguage?act=Contact	www.gitedupavillon.fr/en/Home/RedirectLanguage.1c8e55.delayed	(from https://www.gitedupavillon.fr/Home/Contact)
09:36:23	165/165	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20May%202020%2007:36:22%20GMT	http://www.gitedupavillon.fr/en/Home/News	www.gitedupavillon.fr/en/Home/News.1d.delayed	(from https://www.gitedupavillon.fr/Home/News)
